disrict,client_id,client_catg,region,creation_date,label
60,train_Client_0,11,101,31/12/1994,0
69,train_Client_1,11,107,29/05/2002,0
62,train_Client_10,11,301,13/03/1986,0
69,train_Client_100,11,105,11/07/1996,0
62,train_Client_1000,11,303,14/10/2014,0
69,train_Client_10000,11,103,29/09/1993,0
62,train_Client_100000,11,309,07/06/2012,0
60,train_Client_100001,11,101,12/04/2006,0
62,train_Client_100002,11,301,31/12/2006,0
60,train_Client_100003,11,101,25/10/2011,0
63,train_Client_100004,12,311,30/06/2006,0
62,train_Client_100005,11,304,16/10/1997,0
69,train_Client_100006,11,107,20/05/2005,0
60,train_Client_100007,11,101,28/05/2009,0
69,train_Client_100008,11,104,22/10/2002,0
63,train_Client_100009,11,311,06/11/2006,0
63,train_Client_10001,11,312,14/05/2002,0
69,train_Client_100010,11,104,25/05/1999,0
63,train_Client_100011,11,311,10/02/2012,0
60,train_Client_100012,11,101,25/04/2006,0
62,train_Client_100013,11,305,20/02/2001,0
60,train_Client_100014,11,101,19/05/1998,0
63,train_Client_100015,11,311,30/11/1999,0
60,train_Client_100016,11,101,30/03/2000,0
69,train_Client_100017,11,104,17/11/2011,0
69,train_Client_100018,11,103,05/07/2018,0
69,train_Client_100019,11,104,07/11/1983,0
63,train_Client_10002,11,311,20/11/1997,0
60,train_Client_100020,11,101,08/12/2003,0
69,train_Client_100021,51,104,13/07/2017,0
60,train_Client_100022,11,101,24/07/1995,0
63,train_Client_100023,11,306,29/12/1989,0
60,train_Client_100024,11,101,22/03/1985,0
63,train_Client_100025,11,311,15/12/2005,0
63,train_Client_100026,11,311,17/10/2014,0
63,train_Client_100027,11,306,19/08/1998,0
60,train_Client_100028,11,101,12/11/1979,0
62,train_Client_100029,11,301,30/12/1981,0
60,train_Client_10003,11,101,22/12/1997,0
60,train_Client_100030,11,101,28/02/2011,0
62,train_Client_100031,11,301,17/10/1983,0
63,train_Client_100032,11,308,07/11/2012,1
63,train_Client_100033,11,372,11/12/2018,0
60,train_Client_100034,11,101,04/05/2000,0
69,train_Client_100035,11,104,09/07/2015,0
62,train_Client_100036,11,301,02/01/2012,0
62,train_Client_100037,11,307,16/09/2009,1
63,train_Client_100038,11,306,25/12/2000,0
60,train_Client_100039,11,101,05/05/1998,0
60,train_Client_10004,11,101,08/12/2003,0
63,train_Client_100040,11,313,03/03/2010,0
62,train_Client_100041,11,303,22/06/2016,0
60,train_Client_100042,11,101,16/04/1979,0
60,train_Client_100043,11,101,13/02/2011,0
62,train_Client_100044,11,301,31/10/1984,0
62,train_Client_100045,11,303,24/11/1997,0
60,train_Client_100046,11,101,26/11/1991,0
60,train_Client_100047,11,101,23/02/2004,0
63,train_Client_100048,11,101,26/10/2010,0
62,train_Client_100049,12,310,08/06/1994,0
69,train_Client_10005,11,104,08/04/2009,0
63,train_Client_100050,11,311,31/12/1994,0
62,train_Client_100051,11,303,12/03/2003,0
69,train_Client_100052,11,104,19/11/2013,0
62,train_Client_100053,11,303,19/02/2007,0
63,train_Client_100054,11,312,31/12/2004,0
69,train_Client_100055,11,104,20/12/2012,0
62,train_Client_100056,11,310,31/12/1996,0
62,train_Client_100057,11,301,26/04/1977,0
60,train_Client_100058,11,101,25/12/1997,0
62,train_Client_100059,11,304,14/10/2014,0
69,train_Client_10006,11,104,08/04/2002,0
69,train_Client_100060,11,104,07/01/2008,0
63,train_Client_100061,11,312,11/05/2000,0
60,train_Client_100062,11,101,22/05/2007,0
60,train_Client_100063,11,101,29/08/2016,0
69,train_Client_100064,11,104,13/05/2011,0
69,train_Client_100065,11,103,08/01/2010,0
60,train_Client_100066,11,101,28/11/2011,0
63,train_Client_100067,11,312,20/12/1990,0
62,train_Client_100068,11,301,26/12/2014,0
62,train_Client_100069,11,309,29/11/2004,0
69,train_Client_10007,11,103,07/09/2018,0
62,train_Client_100070,11,310,06/12/1993,0
62,train_Client_100071,11,301,16/05/1985,0
62,train_Client_100072,11,301,26/11/1987,0
62,train_Client_100073,11,305,21/12/1983,0
63,train_Client_100074,11,312,07/04/2014,0
60,train_Client_100075,11,101,13/09/2007,0
63,train_Client_100076,11,311,11/11/1994,0
62,train_Client_100077,11,301,17/10/1983,0
60,train_Client_100078,11,101,16/02/2006,0
60,train_Client_100079,11,101,16/05/2012,0
63,train_Client_10008,11,101,14/09/1987,0
62,train_Client_100080,11,371,13/12/1984,0
60,train_Client_100081,11,101,05/03/1977,0
62,train_Client_100082,11,301,19/12/1996,0
69,train_Client_100083,11,107,26/10/1982,1
60,train_Client_100084,11,101,06/12/2011,0
63,train_Client_100085,11,312,04/02/2016,0
60,train_Client_100086,11,101,30/06/1994,0
69,train_Client_100087,11,107,06/03/2008,0
62,train_Client_100088,11,304,28/10/1996,0
62,train_Client_100089,11,307,10/09/2012,0
60,train_Client_10009,11,101,28/12/2016,0
62,train_Client_100090,11,303,14/10/2002,0
60,train_Client_100091,11,101,22/02/2011,1
62,train_Client_100092,11,302,26/06/1984,0
63,train_Client_100093,11,306,29/12/1991,0
63,train_Client_100094,11,311,12/11/2012,0
63,train_Client_100095,11,372,13/09/1988,0
62,train_Client_100096,11,301,07/09/2011,0
69,train_Client_100097,11,107,02/12/2014,0
63,train_Client_100098,11,313,10/08/2011,0
60,train_Client_100099,11,101,28/04/2010,0
62,train_Client_1001,11,309,06/11/2009,0
63,train_Client_10010,11,311,31/12/2003,0
63,train_Client_100100,11,306,24/12/2007,0
60,train_Client_100101,11,101,11/10/2005,0
69,train_Client_100102,11,103,14/02/2007,0
62,train_Client_100103,11,301,30/08/2013,0
60,train_Client_100104,11,101,15/07/2009,0
62,train_Client_100105,11,310,16/12/1986,0
69,train_Client_100106,11,104,27/01/2009,0
62,train_Client_100107,11,305,22/04/1992,0
62,train_Client_100108,11,307,22/08/2003,0
63,train_Client_100109,11,312,27/12/1990,1
60,train_Client_10011,11,101,19/03/1987,0
62,train_Client_100110,11,301,05/04/2002,0
69,train_Client_100111,11,104,09/03/2011,0
60,train_Client_100112,11,101,14/11/2006,0
62,train_Client_100113,12,301,12/10/2001,0
69,train_Client_100114,11,104,07/06/2012,0
63,train_Client_100115,11,101,27/12/1990,0
62,train_Client_100116,11,310,27/08/2010,0
69,train_Client_100117,11,105,17/11/2012,0
69,train_Client_100118,51,104,16/12/2014,0
60,train_Client_100119,11,101,08/07/1998,0
63,train_Client_10012,11,101,24/02/2003,0
63,train_Client_100120,11,311,19/11/2018,0
60,train_Client_100121,11,101,10/12/1993,0
62,train_Client_100122,11,302,23/08/2011,0
69,train_Client_100123,11,107,17/01/2008,0
62,train_Client_100124,11,309,30/03/2015,0
60,train_Client_100125,11,101,14/06/1977,0
62,train_Client_100126,11,301,05/11/2014,0
60,train_Client_100127,11,101,14/09/2006,0
62,train_Client_100128,11,304,20/09/1990,0
